what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047287980
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1738047287987
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1738047287987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047294235
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047296276
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1738047296298
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1738047296298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047301312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047327510
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1738047330212
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738047341210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047344575
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047345915
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1738047345924
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1738047345924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047349769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047376098
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1738047376268
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1738047376292
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1738047382405
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738047407672
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1738047411885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047414570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047416070
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1738047416078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1738047416078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047422363
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1738047457620
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047457799
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1738047471613
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738047474468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047475812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047477256
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1738047477265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1738047477265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047486904
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1738047520277
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1738047520306
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047537660
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047576390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047593965
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1738047593973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1738047593973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047598249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047637137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047643244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047668608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047672723
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047683400
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738047683548
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738047683649
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.contextInformation",1738047724958
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738047725826
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738047732939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738047740601
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1738047746145
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1738047817635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047820875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738047820907
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1738047824329
