what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738214289919
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738214290182
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738214290341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214291757
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214315276
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738214320238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738214330683
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738214333641
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738214350485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738214359391
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738214360776
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738214366145
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738214378024
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738214379830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738214384179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1738214391217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1738214394656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738214395415
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738214398411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214515088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214581224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214598641
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214672345
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738214677430
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214722857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738214822898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738214973518
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738214994501
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738214996772
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738214996897
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738215002933
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738215022069
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738215026364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738215049663
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738215049746
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738215049747
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1738215089725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215117899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215161899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215162004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215266632
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738215273559
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215414601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215425014
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738215526883
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215627542
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215630285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215630492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215634255
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738215634295
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738215638218
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738215638219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215735870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215996040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738215996149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738216439050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738216439214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738216441258
