what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1738173358712
java.specification.name,sysinfo,,,"Java Platform API Specification",1738173358712
java.specification.vendor,sysinfo,,,"Oracle Corporation",1738173358712
java.specification.version,sysinfo,,,"1.8",1738173358712
java.vendor,sysinfo,,,"Oracle Corporation",1738173358712
java.version,sysinfo,,,"1.8.0_191",1738173358712
java.vm.info,sysinfo,,,"mixed mode",1738173358712
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1738173358712
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1738173358712
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1738173358712
java.vm.specification.version,sysinfo,,,"1.8",1738173358712
java.vm.vendor,sysinfo,,,"Oracle Corporation",1738173358712
java.vm.version,sysinfo,,,"25.191-b12",1738173358712
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738173363795
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1738173366182
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1738173366184
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1738173368136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173373593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173391239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173400220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173435006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173439480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173658425
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173709487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173850461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173855438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173869876
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1738173871067
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738173871115
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738173871508
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1738173871597
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1738173881516
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1738173881536
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738173881807
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1738173881907
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173899811
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173901399
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1738173901439
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1738173906481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738173917665
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738173922987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173924067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173933136
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738173937277
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173954460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173957857
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738173969707
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173977295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173981490
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738173992767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738174002342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738174009384
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738174012777
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738174016185
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738174024711
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738174025545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738174028596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738174034290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738174037631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738174052474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738174055191
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1738174061489
