what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1738646257273
java.specification.name,sysinfo,,,"Java Platform API Specification",1738646257273
java.specification.vendor,sysinfo,,,"Oracle Corporation",1738646257273
java.specification.version,sysinfo,,,"1.8",1738646257273
java.vendor,sysinfo,,,"Oracle Corporation",1738646257273
java.version,sysinfo,,,"1.8.0_191",1738646257273
java.vm.info,sysinfo,,,"mixed mode",1738646257273
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1738646257273
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1738646257273
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1738646257273
java.vm.specification.version,sysinfo,,,"1.8",1738646257273
java.vm.vendor,sysinfo,,,"Oracle Corporation",1738646257273
java.vm.version,sysinfo,,,"25.191-b12",1738646257273
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1738646265352
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1738646265354
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738646273206
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738646280074
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1738646282465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1738646285982
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1738646291551
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738646291604
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738646291791
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1738646292135
