what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738399688287
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738399765815
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738399795491
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738399796723
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738399803701
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738399803782
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738399803782
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738399810852
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738399811059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738399815524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738399902071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738399904684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400070090
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1738400082342
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738400084687
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1738400085760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400087864
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400089410
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.closeUnrelatedProjects",1738400089460
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738400091826
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738400094828
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738400095129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400134319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400143265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1738400161422
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400162661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400164097
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738400164292
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1738400164859
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1738400164859
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1738400164872
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1738400164890
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1738400164902
